,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,1226,1197.0,908,9.0,843.0,0.0,3228.0,4.0,13.0,0.0
,1285,552.0,1353.0,1710.0,11.0,2157.0,1032.0,1837.0,25.0,0.0
,1856,1718,736,124,1328.0,0,2742.0,430.0,41,1025
,554,1833,1206,1292.0,1719,0.0,0,15.0,50.0,3330
,1268.0,2143.0,1092,1200.0,1.0,0.0,3308.0,8.0,977.0,0.0
,440,1429.0,1092,948.0,1682.0,0.0,2231,32.0,76.0,991.0
,621,1175.0,14,1901.0,19.0,0.0,2879.0,8,2333.0,1050.0
,932.0,997.0,757.0,3414.0,690.0,1099.0,1526.0,21.0,16.0,546.0
,777,116.0,554,1234.0,691.0,0.0,0.0,27.0,26.0,6574.0
,2011.0,32,1427,0.0,1381.0,0.0,4327.0,22.0,38.0,760.0
,agent_call_AT,agent_call_flop,agent_call_top_pair,agent_raise_AT,agent_raise_aggressive,background_agent_v1,background_agent_v2,player_call,player_raise,player_random
,17.0,29.0,981.0,240.0,35.0,0.0,2952.0,13.0,3656.0,2077.0
,530,6.0,1691.0,149.0,689.0,0.0,0.0,1800.0,2.0,5133.0
,1085,0.0,376,800,5,0.0,0.0,5334.0,8.0,2391.0
,59,552,424,557,31,2627,0,4740,17,992
,1,309.0,760,70,4.0,2948.0,0.0,4786.0,64.0,1057.0
,434.0,995.0,158.0,339.0,1001.0,2779.0,1546.0,2408.0,35.0,0.0
,2202.0,820.0,1696.0,618.0,25,1339.0,1354.0,1.0,965.0,978.0
,1911.0,353.0,1223.0,21.0,17.0,0.0,4606.0,1803.0,66.0,0.0
,1215,1021,1146.0,761.0,9.0,1515.0,2088.0,721.0,8,1514.0
,3,13,928,415,50,0.0,0.0,40.0,3829.0,4613.0
,856,949,997,863,1309,984,1222.0,2359.0,57.0,404.0
,856,949,997,863,1309,984,1222.0,2359.0,57.0,404.0
,856,949,997,863,1309,984,1222.0,2359.0,57.0,404.0
